,INPC
2022/01,118.002
2022/02,118.981
2022/03,120.159
2022/04,120.809
2022/05,121.022
2022/06,122.044
2022/07,122.948
2022/08,123.803
2022/09,124.571
2022/10,125.276
2022/11,125.997
2022/12,126.478
2023/01,127.336
2023/02,128.046
2023/03,128.389
2023/04,128.363
2023/05,128.084
2023/06,128.214
2023/07,128.832
2023/08,129.545
2023/09,130.12
2023/10,130.609
2023/11,131.445
2023/12,132.373
2024/01,133.555
2024/02,133.681
2024/03,134.065
2024/04,134.336
2024/05,134.087
2024/06,134.594
2024/07,136.003
2024/08,136.013
2024/09,136.08
2024/10,136.828
2024/11,137.424
2024/12,137.949
2025/01,138.343
2025/02,138.726
2025/03,139.161
2025/04,139.62
2025/05,140.012
2025/06,140.405
2025/07,140.78
2025/08,140.867
2025/09,141.197
2025/10,141.708
2025/11,142.645
2025/12,143.042
2026/01,143.588
2026/02,144.307
2026/03,145.544
